,text
10941,May the Lord answer ALL your prayers. Psalm 20 1-5  I found serenity in this this morning. God bless
322608,@JakeToews hey buddddy!!! I for sure got your number. I will tell everyone you said what's up. 
42112,@FamousTweeter oh dont feel sorry for me ill be fine *sniffs* 
323782,@ddlovato you are so amazing! i love you  you will go to brazil this eyar?
94052,is going to a BBQ 
245575,has an extremely sore mouth ! 
458256,@ishaNikki congratss to them 
329677,"No confirmation yet, but, migration to Windows from Linux for our web server but still using AMP.  (makes no sense!)"
144689,@erinpepper dm your # again cuz i can't find you in my contacts 
493772,Sleep with Ania and Rascal.  zzzzzzzzz
251745,@mileycyrus have a nice day 
374390,@follownatalie no you don't anymore 
88793,perfect timing! It started raining when I started my Bimmer. That's gonna be a &quot;wet race&quot; tomorrow at Nürburgring 
153634,leaves college in just 4 days! and is then off on a nice little break to London BRITNEY! at the 02 haha it's a must see! 
57903,@HOTTVampChick  
79816,@sampan22 i know!! can't wait!! 
287255,sitting here thinking how the heck do you do this 
291218,@ThatsMR2Phly_2U me too.  (regrets...even though I was egging u on)
200739,possibly i've become crazy because of all that horror movies 
524668,Theres a liquer called Unicum... my life is complete    x!x
237577,making pizza at work. i so love my job today 
381648,"@simonmayo how about Perry Como and papa loves mambo, it could sound great in the sunshine  or just because by janes addiction."
357026,Tweet and ReTweet were in a bout... Tweet fell out... Who was left? 
335644,"@cherrytreerec oh man, i can't see the vid.  its ot available in my country."
501633,@kbonded What awesome late-night words of wisdom! 3 of your quotes just got jotted down on my whiteboard. Bless You! 
517898,good morning tweeps.. rainy and dark in oslo today 
336351,@adamlofthouse Yeah they think lewis will have it for silverstone hopefully he will be back next yeaar 
169984,@bakerhead So excited for you! What a great adventure! Kinda jealous too. 
420221,Somebody rang me.I was in the shower. I missed the phone. I have a 94yo Grandpa &amp; a friend's baby due last Sat I don't like to miss calls 
319813,YES! i broke the cycle 
353416,"@helen_bop  I hope they burst. I'm on Facebook looking at radfem groups (@Ren_Ev to blame for that) and seriously, my GODDESS."
79962,Wings Won!  we to represent the Original Six.
477342,wintersport season is over  see you in december
479622,cant wait for the blackout on the 16th gonna be awesome 
29445,"It's nice to be done w/ school &amp; work for a bit, but I am in need of a real vaykay. Maybe a 21st birthday present? Wishful thinking, LOL "
51187,Finally got my GPRS activated through Idea... Yippies... Can be online on the move now 
245522,@LePlaster  Lol. Yep. It's quite fantastic. 
270301,Whatta day! Sooo sore 
414831,@Boomstone It's because I'm here for ya.  Viola! and It's done.... 
70107,I did get a nasty surprise when I noticed the proper time  It's only 5 hours until I need to get up for work. .. http://tinyurl.com/m7k489
