,Unnamed: 0.1,Unnamed: 0,questionID,questionTitle,questionText,questionLink,topic,therapistInfo,therapistURL,answerText,upvotes,views,split,dollyAnswerText
0,0,0,0,Can I change my feeling of being worthless to everyone?,"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?",https://counselchat.com/questions/can-i-change-my-feeling-of-being-worthless-to-everyone,depression,"Sherry Katz, LCSWCouples and Family Therapist, LCSW",https://counselchat.com/therapists/sherry-katz-lcsw,"If everyone thinks you're worthless, then maybe you need to find new people to hang out with.Seriously, the social context in which a person lives is a big influence in selfesteem.Otherwise, you can go round and round trying to understand why you're not worthless, then go back to the same crowd and be knocked down again.There are many inspirational messages you can find in social media.  Maybe read some of the ones which state that no person is worthless, and that everyone has a good purpose to their life.Also, since our culture is so saturated with the belief that if someone doesn't feel good about themselves that this is somehow terrible.Bad feelings are part of living.  They are the motivation to remove ourselves from situations and relationships which do us more harm than good.Bad feelings do feel terrible.   Your feeling of worthlessness may be good in the sense of motivating you to find out that you are much better than your feelings today.",1,2899,train,"First of all, please seek professional help. It's not healthy to struggle with something like this on your own.

Second, you can start by not focusing on your limitations. Perhaps it's because I'm self-taught but I tend to think that I'm not good at many things. For example, I'm terrible at public speaking, and there's nothing that I can do about it. However, I tend to think that I can't do this, because I can do a lot of other things. The same goes for writing, I'm not good at writing. However, I still think I can still do it. Just keep practicing and you will get better.

Third, try to be grateful. There are many things in life that you can't control, such as death. There's something called 'the law of attrition'. Roughly put, it's the idea that if you keep doing something over and over again, eventually it will become easy. For example, going to the gym regularly will be hard, but eventually it will become a habit. This article fromlifehacker.com may be helpful: https://www.lifehacker.com.au/2017/04/the-law-of-attrition-"
1,1,1,0,Can I change my feeling of being worthless to everyone?,"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?",https://counselchat.com/questions/can-i-change-my-feeling-of-being-worthless-to-everyone,depression,"Robin Landwehr, DBH, LPCC, NCCMental Health in a Primary Care Setting",https://counselchat.com/therapists/robin-landwehr-dbh-lpcc-ncc,"Hello, and thank you for your question and seeking advice on this. Feelings of worthlessness is unfortunately common. In fact, most people, if not all, have felt this to some degree at some point in their life. You are not alone. Changing our feelings is like changing our thoughts  it's hard to do. Our minds are so amazing that the minute you change your thought another one can be right there to take it's place. Without your permission, another thought can just pop in there. The new thought may feel worse than the last one! My guess is that you have tried several things to improve this on your own even before reaching out on here. People often try thinking positive thoughts, debating with their thoughts, or simply telling themselves that they need to ""snap out of it""  which is also a thought that carries some selfcriticism. Some people try a different approach, and there are counselors out there that can help you with this. The idea is that instead of trying to change the thoughts, you change how you respond to them. You learn skills that allow you to manage difficult thoughts and feelings differently so they don't have the same impact on you that they do right now. For some people, they actually DO begin to experience less hurtful thoughts once they learn how to manage the ones they have differently. Acceptance and Commitment Therapy may be a good choice for you. There is information online and even selfhelp books that you can use to teach you the skills that I mentioned. Because they are skills, they require practice, but many people have found great relief and an enriched life by learning them. As for suicidal thoughts, I am very glad to read that this has not happened to you. Still, you should watch out for this because it can be a sign of a worsening depression. If you begin to think about this, it is important to reach out to a support system right away. The National Suicide Prevention Lifeline is 18002738255. The text line is #741741. I hope some other colleagues will provide you more suggestions. Be well...Robin Landwehr, DBH, LPCC",1,3514,train,"First,  you need to find someone who will listen to you and validate your feelings and thoughts.  Someone who you feel safe sharing your feelings with and who is not related to you.  A family member, friend or therapist can help with this step.

Next,  pray.  Ask for divine intervention.  Become a victim of your own circumstances and circumstances around you.  Find a trusted and effective clergy member to lead you in a prayerful and concrete request for a solution to help you find peace within yourself.  Follow the steps in the prayer, being sure to focus on your request and pray for guidance and peace.  Some common prayer words are ""Help me"" or ""intercede for me"".

Once you have a plan for how to get out of your current situation and feel a sense of control over your thoughts, take steps to execute your plan.  Begin to execute your plan to get out of your current situation.  You will find yourself executing your plan, feeling much better about your self and your situation.

BONUS: Take a therapeutic hot tub bath.  Relax your body and your mind.  Bathe in your feeling of worthless and the repercussions of everyone else's perceptions"
2,2,2,0,Can I change my feeling of being worthless to everyone?,"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?",https://counselchat.com/questions/can-i-change-my-feeling-of-being-worthless-to-everyone,depression,Lee KingI use an integrative approach to treatment and have an online therapy practice.,https://counselchat.com/therapists/lee-king,First thing I'd suggest is getting the sleep you need or it will impact how you think and feel. I'd look at finding what is going well in your life and what you can be grateful for. I believe everyone has talents and wants to find their purpose in life. I think you can figure it out with some help.,0,5,train,"The first step is acknowledging that you have these thoughts and feelings. Anxiety and depression are debilitating, it is best to seek professional help. Anticipating this, I will provide the following steps that may help. 
Get plenty of rest. Anxious and depressed thoughts will try and bring you down and interfere with your rest, so by getting enough rest you will be able to clear your head of anxious or depressed thoughts.
Meditate. While probably not for everyone, meditation is generally considered to be good for clearing your head and focusing your thoughts. It is sometimes confused with relaxation, but meditation has more components of focusing on a subject in your mind.
Exercise. Being active is known to release endorphins, which help reduce stress and anxiety. However, some exercise is better than no exercise. Going for a walk, taking the dog for a walk, doing some Yoga. Find what helps you feel better and do it.
Love yourself. I know this seems like common sense, but love yourself is important, it actually releases feel like endorphins. Also, give yourself rewards like a massage or cooking dinner for your efforts. This is especially important during hard work like cooking. Give yourself breaks. 
Understand that your"
3,3,3,0,Can I change my feeling of being worthless to everyone?,"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?",https://counselchat.com/questions/can-i-change-my-feeling-of-being-worthless-to-everyone,depression,"Shauntai Davis-YearginPersonalized, private online counseling for individuals and couples",https://counselchat.com/therapists/shauntai-davis-yeargin,"Therapy is essential for those that are feeling depressed and worthless. When I work with those that are experiencing concerns related to feeling of depression and issues with self esteem. I generally work with my client to help build coping skills to reduce level of depression and to assist with strengthening  self esteem, by guiding my client with CBT practices. CBT helps with gaining a better awareness of how your thought process influences your belief system, and how your beliefs impact your actions and the outcome of your behaviors.  This process isn’t easy but it helps teach an individual that we don’t always have control over what happens in our lives but we can control how we interpret, feel, and behave. CBT is good for individuals dealing with depression, anxiety, toxic relationships, stress, self esteem, codependency, etc.",0,31,train,"I don't know if you've considered it, but you're not worthless. You're amazing and I think you should continue to do what you love. I know that sounds cheesy, but remember how amazing you were in school? You did your best on your speech and debate team and now you run a Youtube channel where you talk about random stuff. You're good at what you do. Everyone gets tired of hearing the same jokes or watching the same YouTube videos over and over. So, put those skills to use and help people in a way you're good at. You love talking to people and that is your strong point. Chat them up on tinder or facebook messenger and try to meet people! 
I don unfortunately have advice for how to deal with feeling worthless, as I've personally felt this way plenty of times in my life. I personally tell myself that I'm not here to validate others opinions, I'm here to do what is best for me. It is not my place to judge, and I try not to take the BS that is thrown my way. Try to sleep at night. You're getting less than 6 hours a night so if you're getting any sleep at all, that's good. Focus on the positives in life, and try"
4,4,4,0,Can I change my feeling of being worthless to everyone?,"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?",https://counselchat.com/questions/can-i-change-my-feeling-of-being-worthless-to-everyone,depression,Jordan WhiteLicensed Social Worker at Oak Roots Dynamic,https://counselchat.com/therapists/jordan-white,I first want to let you know that you are not alone in your feelings and there is always someone there to help. You can always change your feelings and change your way of thinking by being open to trying to change. You can always make yourself available to learning new things or volunteering so that you can make a purpose for yourself.,0,620,train,"Write down all of the things you think and feel are worthless. These can be things like how you look, your weight, your clothes, your house, your family, your job, your car, etc. List all of these in the order in which they feel worthless. Repeat this as many times as it feels appropriate for the feeling. While doing this, ask yourself why you feel this way. For example, if you look at yourself in the mirror and think you're ugly, ask why you think you look ugly. Imagine how you would feel if no one else ever looked at you this way and only you had the power to change how you feel. Repeat this as many times as it feels appropriate. Finally, commit to practicing this every day for at least the rest of your life. You can also create a plan for when you feel like suicide is the best option."
5,5,5,0,Can I change my feeling of being worthless to everyone?,"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?",https://counselchat.com/questions/can-i-change-my-feeling-of-being-worthless-to-everyone,depression,"Dr. Timothy Paul'man'; Online - ""Natural Health Consultant and Coach""",https://counselchat.com/therapists/dr-timothy-paul,"Heck, sure thing, hun!Feelings of 'depression' have a deeplyrooted base in physical structures that may not be functioning very well at present; and, we can certainly turn them on again using means that you are able to find around the house and with relative ease :)After that, emotional and spiritual support will be liberally applied.",0,18,train,"Dear (insert name here), I'm so sorry you are going through this. I don't know what to say to help. Suicide is one of the most painful and shattering experiences anyone can go through. No one should ever have to go through what you are going through, no matter how worthless you feel. I hope you can talk to someone you can confide in, like a friend or family member. And if you have a support group, that can help too. I'm here if you ever want to talk. You are not alone."
6,6,6,0,Can I change my feeling of being worthless to everyone?,"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?",https://counselchat.com/questions/can-i-change-my-feeling-of-being-worthless-to-everyone,depression,Susan HaberkornOnline Christian Counseling for Women,https://counselchat.com/therapists/susan-haberkorn,You are exhibiting some specific traits of a particular temperament type. Seek out a counselor who provides NCCA temperament therapy and discover the joy of being you  God loves you as you are!,0,32,train,"I have two tips for you that might help:
1. Get therapy
2. Find someone to talk to
I hope this is helpful. Let me know if you have more questions!"
7,7,7,0,Can I change my feeling of being worthless to everyone?,"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?",https://counselchat.com/questions/can-i-change-my-feeling-of-being-worthless-to-everyone,depression,Jennifer GerlachYour Story Matters,https://counselchat.com/therapists/jennifer-gerlach,"That is intense. Depression is a liar. Sometimes depression places these glasses over our eyes, these dark sunglasses that change how we see things. Depression tells us things like ""you're worthless"" ""no one likes you"" ""don't worry about doing anything."" And it is so easy for us to listen and to be tricked into thinking that just because we feel something means it is true. Please know that even if you are feeling worthless right now, that doesn't mean you are worthless.The first step to working through this is recognizing what is going on. Recognizing when depression is telling you the same story (ie; being worthless) with different words (ie worthless here, worthless there) and making an effort to talk back. While I can not give you a diagnosis of depression, reading what you are going through, it sounds like you might need help to get back on track. Seeing a counselor can open an entirely new option up wherein someone who is not involved in your life can help you without judgement and with an objective perspective. This can do wonders in unwrapping these kinds of thoughts. Wishing you the absolute best!",0,20,train,"I'll share a personal experience of mine that helped.
I was diagnosed with anxiety and depression when I was 16. I was fortunate to have a great support system around me during that difficult time. It was an emotionally draining experience, but I also learned a lot. I wish I had known about Cognitive Behavioral Therapy earlier. It would have saved me a lot of heartache and hard work.
I am grateful for my support system and all the help I've received throughout the years. I'll be damned if I am going to throw that away because I feel like this human trashcan. 

Instead, I plan to focus on the positives. I have a deep-seated desire to help people in my community. I want to go back to school to become a counselor or to work with youth."
8,8,8,0,Can I change my feeling of being worthless to everyone?,"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?",https://counselchat.com/questions/can-i-change-my-feeling-of-being-worthless-to-everyone,depression,"Christina McGrath Fair""Enlightenment is when a wave realizes it is the ocean."" -Thich Nhat Hanh",https://counselchat.com/therapists/christina-mcgrath-fair,It sounds like you may be putting yourself last. You wrote that you want to fix your issues but never get around to it. I wonder how you are spending your mental and physical energy. Are you spending time taking care of and doing for others? I also wonder where the thoughts and feelings of being worthless are coming from  are you around people who treat you poorly or are hurtful? Or do you feel it is more of a worry you have but aren't really sure how others feel? It may be helpful to talk to someone about your feelings  a counselor perhaps  to clarify your feelings and move forward from se that are hurting you.,0,33,train,"Write down your feelings on a piece of paper. Sit down and think about each feeling. Repeat the feeling as many times as it is written down. Then replace the word with another feeling. Once you are finished, throw the paper away."
9,9,9,0,Can I change my feeling of being worthless to everyone?,"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?",https://counselchat.com/questions/can-i-change-my-feeling-of-being-worthless-to-everyone,depression,Michael SamarIntegrative Psychotherapist and Mindfulness Coach,https://counselchat.com/therapists/michael-samar,"It must be really difficult to experience what your going through right now.  It takes a lot of courage to reach out. It sounds like you want to get better, but perhaps need some help to get over the hump.  Many of the symptoms you have described are consistent with a person who is dealing with depression.   Depression is a treatable condition.  Typically, if these symptoms have persisted for more than two weeks, then it is a good idea to seek professional help.   Someone who is trained in dealing with depression.  Initially, a comprehensive assessment would be completed to rule out any other causes for your symptoms and to determine the exact nature of your presenting concern.  Then, in collaboration with one another, a tailored treatment plan would be developed, focusing on how to best help you reach your goals.  The good news is that their is hope for getting better! You don;t have to do it alone.  Allow me to be your ally in healing.",0,37,train,"- Set time aside for yourself each day
- Do things that make you happy
- Practice mindfulness, so that you can sit with your feelings
- Set goals for yourself"
