"QUARTER","ORIGIN","ORIGIN_STATE_ABR","DEST_AIRPORT_ID","DEST_STATE_ABR","AIRPORT_GROUP","OP_CARRIER_GROUP","PASSENGERS","MARKET_FARE","MARKET_DISTANCE","ITIN_GEO_TYPE","numLayovers"
1,"ITH","NY",11193,"KY","ITH:DTW:CVG","OO:DL",1,219,582,2,1
1,"JFK","NY",14679,"CA","JFK:SAN","DL",2,340.5,2446,2,0
1,"BUF","NY",10279,"TX","BUF:DFW:AMA","AA:MQ",1,470.53,1524,2,1
1,"DEN","CO",12953,"NY","DEN:LGA","UA",1,224.5,1620,2,0
1,"OMA","NE",12953,"NY","OMA:DTW:LGA","DL:DL",1,314.18,1153,2,1
1,"ABQ","NM",10792,"NY","ABQ:PHX:BUF","WN:WN",1,278.5,2240,2,1
1,"COS","CO",12953,"NY","COS:DEN:LGA","OO:UA",1,289,1693,2,1
1,"CMH","OH",12478,"NY","CMH:JFK","9E",1,253,483,2,0
1,"JFK","NY",12892,"CA","JFK:PHX:LAX","AA:AA",1,296,2523,2,1
1,"LGA","NY",11298,"TX","LGA:DFW","YX",1,211,1389,2,0
1,"LGA","NY",14524,"VA","LGA:IAD:RIC","YV:AX",1,95.5,329,2,1
1,"LGA","NY",15412,"TN","LGA:CLT:TYS","AA:OH",1,256,721,2,1
1,"LGA","NY",11278,"VA","LGA:DCA","AA",2,358,214,2,0
1,"DFW","TX",12197,"NY","DFW:DCA:HPN","AA:OH",1,290.39,1426,2,1
1,"LAS","NV",12478,"NY","LAS:JFK","AA",1,304,2248,2,0
1,"BUF","NY",12266,"TX","BUF:DTW:IAH","9E:9E",1,258.94,1316,2,1
1,"BOS","MA",12953,"NY","BOS:LGA","DL",3,186,184,2,0
1,"ORD","IL",12478,"NY","ORD:JFK","B6",5,133,740,2,0
1,"LGA","NY",12892,"CA","LGA:STL:LAX","WN:WN",1,144.15,2480,2,1
1,"ROC","NY",13303,"FL","ROC:EWR:MIA","EV:UA",2,111,1331,2,1
1,"SYR","NY",12892,"CA","SYR:EWR:LAX","C5:UA",1,486.36,2649,2,1
1,"BUF","NY",11618,"NJ","BUF:EWR","YX",1,139,282,2,0
1,"ALB","NY",11042,"OH","ALB:BWI:CLE","WN:WN",1,179.5,603,2,1
1,"FLL","FL",12478,"NY","FLL:JFK","DL",1,145.5,1069,2,0
1,"JFK","NY",14683,"TX","JFK:SAT","DL",10,198,1587,2,0
1,"ISP","NY",15304,"FL","ISP:TPA","WN",24,129.5,1034,2,0
1,"SAT","TX",12478,"NY","SAT:JFK","DL",1,286.5,1587,2,0
1,"SAN","CA",12478,"NY","SAN:MIA:JFK","AA:AA",1,392.17,3356,2,1
1,"LGA","NY",13204,"FL","LGA:BNA:MCO","WN:WN",1,171,1380,2,1
1,"JFK","NY",10792,"NY","JFK:BUF","9E",1,76.46,301,2,0
1,"LGA","NY",13303,"FL","LGA:MIA","AA",3,163.02,1096,2,0
1,"TPA","FL",12953,"NY","TPA:LGA","DL",1,227.06,1010,2,0
1,"JFK","NY",11292,"CO","JFK:DEN","B6",1,285.5,1626,2,0
1,"HNL","HI",12478,"NY","HNL:JFK","DL",1,376.69,4983,1,0
1,"BUF","NY",11618,"NJ","BUF:EWR","EV",1,156,282,2,0
1,"DFW","TX",12478,"NY","DFW:JFK","AA",1,161.12,1391,2,0
1,"MBS","MI",12953,"NY","MBS:ORD:LGA","OO:YX",1,438,955,2,1
1,"ROC","NY",12992,"AR","ROC:ORD:LIT","MQ:MQ",1,396,1080,2,1
1,"DAL","TX",12953,"NY","DAL:LGA","VX",13,126.5,1381,2,0
1,"IAH","TX",12953,"NY","IAH:LGA","UA",3,416.5,1416,2,0
1,"JFK","NY",15024,"VI","JFK:STT","DL",1,84.5,1623,1,0
1,"PBI","FL",12478,"NY","PBI:JFK","DL",1,190.85,1028,2,0
1,"STL","MO",12953,"NY","STL:LGA","9E",1,443,888,2,0
1,"LGA","NY",13198,"MO","LGA:MCI","WN",1,143,1107,2,0
1,"SEA","WA",12478,"NY","SEA:JFK","DL",1,310,2422,2,0
1,"BOS","MA",12953,"NY","BOS:LGA","AA",12,58,184,2,0
1,"RSW","FL",12478,"NY","RSW:JFK","B6",1,128,1074,2,0
1,"ORD","IL",10792,"NY","ORD:BUF","OO",1,268.5,474,2,0
1,"SYR","NY",10397,"GA","SYR:ORD:ATL","G7:OO",1,384.74,1213,2,1
1,"HPN","NY",10994,"SC","HPN:DCA:CHS","OH:OH",1,106,678,2,1
1,"DEN","CO",12953,"NY","DEN:LGA","UA",1,204,1620,2,0
1,"LIT","AR",12953,"NY","LIT:ATL:MCO:LGA","DL:DL:DL",1,629.04,1807,2,2
1,"DAL","TX",14576,"NY","DAL:BWI:ROC","WN:WN",1,263,1486,2,1
1,"LGA","NY",14107,"AZ","LGA:MDW:PHX","WN:WN",1,279.14,2169,2,1
1,"PBI","FL",12953,"NY","PBI:LGA","DL",1,185.5,1035,2,0
1,"JFK","NY",13303,"FL","JFK:MIA","AA",1,141,1089,2,0
1,"PHL","PA",12953,"NY","PHL:LGA","AA",1,246,96,2,0
1,"ANC","AK",15096,"NY","ANC:ORD:SYR","UA:OO",1,274,3453,1,1
1,"ALB","NY",12889,"NV","ALB:LAS","WN",1,287.2,2237,2,0
1,"DEN","CO",12478,"NY","DEN:JFK","DL",1,253.5,1626,2,0
1,"DEN","CO",10257,"NY","DEN:BWI:ALB","WN:WN",1,136.5,1780,2,1
1,"LAX","CA",10792,"NY","LAX:MSP:BUF","DL:OO",2,291,2270,2,1
1,"JFK","NY",13830,"HI","JFK:HNL:OGG","HA:HA",1,435.5,5083,1,1
